Projektbezeichnung,Stand,Projektperimeter (Gemeinde)
"Pfaffern-, Rot- und Wiggertal",am Laufen,Zofingen
Réseaux Frontière,am Laufen,Arnex-sur-Nyon
Réseaux Frontière,am Laufen,Signy-Avenex
Réseaux Frontière,am Laufen,Saint-Cergue
Réseaux Frontière,am Laufen,Duillier
Réseaux Frontière,am Laufen,Genolier
Réseaux Frontière,am Laufen,Arzier-Le Muids
Réseaux Frontière,am Laufen,Borex
Réseaux Frontière,am Laufen,Chéserex
Réseaux Frontière,am Laufen,Crassier
Réseaux Frontière,am Laufen,Eysins
Réseaux Frontière,am Laufen,Gingins
Réseaux Frontière,am Laufen,Givrins
Réseaux Frontière,am Laufen,Grens
Réseaux Frontière,am Laufen,La Rippe
Réseaux Frontière,am Laufen,Trélex
Schaffhausen,abgeschlossen,Stetten (SH)
Schaffhausen,abgeschlossen,Trasadingen
Schaffhausen,abgeschlossen,Beringen
Schaffhausen,abgeschlossen,Buchberg
Schaffhausen,abgeschlossen,Gächlingen
Schaffhausen,abgeschlossen,Hallau
Schaffhausen,abgeschlossen,Löhningen
Schaffhausen,abgeschlossen,Neunkirch
Schaffhausen,abgeschlossen,Oberhallau
Schaffhausen,abgeschlossen,Rüdlingen
Schaffhausen,abgeschlossen,Schaffhausen
Schaffhausen,abgeschlossen,Schleitheim
Schaffhausen,abgeschlossen,Thayngen
Schaffhausen,abgeschlossen,Wilchingen
See-Gaster,am Laufen,Amden
See-Gaster,am Laufen,Schänis
See-Gaster,am Laufen,Weesen
Seeland BE,am Laufen,Bargen (BE)
Seeland BE,am Laufen,Galmiz
Seeland BE,am Laufen,Mont-Vully
Seeland BE,am Laufen,Siselen
Seeland BE,am Laufen,Brüttelen
Seeland BE,am Laufen,Erlach
Seeland BE,am Laufen,Finsterhennen
Seeland BE,am Laufen,Fräschels
Seeland BE,am Laufen,Gals
Seeland BE,am Laufen,Gampelen
Seeland BE,am Laufen,Ins
Seeland BE,am Laufen,Kallnach
Seeland BE,am Laufen,Kerzers
Seeland BE,am Laufen,Murten
Seeland BE,am Laufen,Treiten
Seeland BE,am Laufen,Tschugg
Seeland BE,am Laufen,Vinelz
Seeland BE,am Laufen,Wileroltigen
Seetal,abgeschlossen,Aesch (LU)
Seetal,abgeschlossen,Boswil
Seetal,abgeschlossen,Hitzkirch
Seetal,abgeschlossen,Hochdorf
Seetal,abgeschlossen,Fahrwangen
Seetal,abgeschlossen,Kallern
Seetal,abgeschlossen,Meisterschwanden
Seetal,abgeschlossen,Sarmenstorf
Seetal,abgeschlossen,Schongau
"Studenland, Bachsertal",abgeschlossen,Kaiserstuhl
"Studenland, Bachsertal",abgeschlossen,Lengnau (AG)
"Studenland, Bachsertal",abgeschlossen,Bachs
"Studenland, Bachsertal",abgeschlossen,Fisibach
"Studenland, Bachsertal",abgeschlossen,Rümikon
"Studenland, Bachsertal",abgeschlossen,Siglistorf
"Studenland, Bachsertal",abgeschlossen,Schneisingen
"Studenland, Bachsertal",abgeschlossen,Stadel
"Studenland, Bachsertal",abgeschlossen,Steinmaur
"Studenland, Bachsertal",abgeschlossen,Neerach
"Studenland, Bachsertal",abgeschlossen,Weiach
"Studenland, Bachsertal",abgeschlossen,Wislikofen
Südlich Basel,abgeschlossen,Aesch (BL)
Südlich Basel,abgeschlossen,Reinach (BL)
Südlich Basel,abgeschlossen,Ettingen
Südlich Basel,abgeschlossen,Therwil
Südwesten BL,am Laufen,Oberdorf (BL)
Südwesten BL,am Laufen,Arboldswil
Südwesten BL,am Laufen,Bennwil
Südwesten BL,am Laufen,Bretzwil
Südwesten BL,am Laufen,Bubendorf
Südwesten BL,am Laufen,Hölstein
Südwesten BL,am Laufen,Lampenberg
Südwesten BL,am Laufen,Langenbruck
Südwesten BL,am Laufen,Lauwil
Südwesten BL,am Laufen,Liedertswil
Südwesten BL,am Laufen,Lupsingen
Südwesten BL,am Laufen,Niederdorf
Südwesten BL,am Laufen,Ramlinsburg
Südwesten BL,am Laufen,Reigoldswil
Südwesten BL,am Laufen,Seltisberg
Südwesten BL,am Laufen,Titterten
Südwesten BL,am Laufen,Waldenburg
Südwesten BL,am Laufen,Ziefen
Tafeljura BL,abgeschlossen,Kilchberg (BL)
Tafeljura BL,abgeschlossen,Rickenbach (BL)
Tafeljura BL,abgeschlossen,Anwil
Tafeljura BL,abgeschlossen,Buckten
Tafeljura BL,abgeschlossen,Buus
